Idiom,WiktionaryURL,Pos,Neg,Neu,Inapprop.,Total,%Pos,%Neg,%Neu,sentiment,FilterOut(X),definition,idiom_id
American Dream,https://en.wiktionary.org/wiki/American_Dream,8,0,2,0,10,0.8,0.0,0.2,positive,,"A widespread determination by Americans to provide their children with a better upbringing than their parents were able to provide for them. A philosophy that with perseverance, courage and determination, anyone can prosper and achieve success.",0.0
Catch-22,https://en.wiktionary.org/wiki/Catch-22,0,7,3,0,10,0.0,0.7,0.3,negative,,A difficult situation from which there is no escape because it involves mutually conflicting or dependent conditions.,1.0
Christmas present,https://en.wiktionary.org/wiki/Christmas_present,6,0,4,0,10,0.6,0.0,0.4,positive,,,2.0
Downing Street,https://en.wiktionary.org/wiki/Downing_Street,0,0,10,0,10,0.0,0.0,1.0,other,,,3.0
Dutch courage,https://en.wiktionary.org/wiki/Dutch_courage,2,2,6,0,10,0.2,0.2,0.6,other,,"The courage or bravado induced by alcohol. An alcoholic drink, taken to bolster one's courage.",4.0
Dutch oven,https://en.wiktionary.org/wiki/Dutch_oven,0,0,10,0,10,0.0,0.0,1.0,other,,,
Elysian Fields,https://en.wiktionary.org/wiki/Elysian_Fields,8,0,2,0,10,0.8,0.0,0.2,positive,,A place or state of ideal happiness; paradise.,5.0
Evel Knievel,https://en.wiktionary.org/wiki/Evel_Knievel,0,4,6,0,10,0.0,0.4,0.6,other,,A daredevil. A reckless showboating driver.,
Faustian bargain,https://en.wiktionary.org/wiki/Faustian_bargain,0,5,5,0,10,0.0,0.5,0.5,negative,,"An agreement in which a person abandons his or her spiritual values or moral principles in order to obtain knowledge, wealth or other benefits. A deal in which one focuses on present gain without considering the long-term consequences.",6.0
Gary Glitter,https://en.wiktionary.org/wiki/Gary_Glitter,0,2,4,4,10,0.0,0.2,0.4,other,,"The anus, especially in the context of anal sex.",7.0
God forbid,https://en.wiktionary.org/wiki/God_forbid,0,6,4,0,10,0.0,0.6,0.4,negative,,indicating that the eventuality is both unlikely and undesirable,
God's work,https://en.wiktionary.org/wiki/God's_work,6,0,4,0,10,0.6,0.0,0.4,positive,,"Work that is very important and necessary, especially that which receives little or no recognition or pay.",8.0
Great Britain and Ireland,https://en.wiktionary.org/wiki/Great_Britain_and_Ireland,1,0,9,0,10,0.1,0.0,0.9,other,,,9.0
I can tell you,https://en.wiktionary.org/wiki/I_can_tell_you,1,0,9,0,10,0.1,0.0,0.9,other,,Emphasises the truth of a statement.,10.0
I do,https://en.wiktionary.org/wiki/I_do,5,0,5,0,10,0.5,0.0,0.5,positive,X,,
I never did,https://en.wiktionary.org/wiki/I_never_did,1,0,9,0,10,0.1,0.0,0.9,other,,An exclamation of great surprise.,11.0
I rest my case,https://en.wiktionary.org/wiki/I_rest_my_case,2,0,7,1,10,0.2,0.0,0.7,other,,The previous encapsulates my view.,12.0
I take it,https://en.wiktionary.org/wiki/I_take_it,0,0,10,0,10,0.0,0.0,1.0,other,,Used to express one's understanding of another's position.,13.0
I wish,https://en.wiktionary.org/wiki/I_wish,0,0,10,0,10,0.0,0.0,1.0,other,,Used to express the speaker's wish that the preceding statement were true,14.0
I would,https://en.wiktionary.org/wiki/I_would,0,0,10,0,10,0.0,0.0,1.0,other,,Used to denote that the speaker finds another person sexually attractive.,
I'd say,https://en.wiktionary.org/wiki/I'd_say,0,0,10,0,10,0.0,0.0,1.0,other,,It is my estimate or opinion.,15.0
I'll be,https://en.wiktionary.org/wiki/I'll_be,0,2,8,0,10,0.0,0.2,0.8,other,,Expressing surprise.,16.0
I'll be damned,https://en.wiktionary.org/wiki/I'll_be_damned,2,2,5,1,10,0.2,0.2,0.5,other,,An expression of surprise. A vehement asseveration that one will not permit some specified thing to happen.,17.0
I'll say,https://en.wiktionary.org/wiki/I'll_say,1,0,9,0,10,0.1,0.0,0.9,other,,Used to indicate emphatic agreement,18.0
Jane Doe,https://en.wiktionary.org/wiki/Jane_Doe,0,0,10,0,10,0.0,0.0,1.0,other,,An unknown or anonymous female; female equivalent of John Doe.,
Joe Public,https://en.wiktionary.org/wiki/Joe_Public,0,0,10,0,10,0.0,0.0,1.0,other,,"A hypothetical average or generic member of the public; the common man (or person, by extension).",19.0
John Doe,https://en.wiktionary.org/wiki/John_Doe,0,0,10,0,10,0.0,0.0,1.0,other,,,20.0
John Hancock,https://en.wiktionary.org/wiki/John_Hancock,0,0,10,0,10,0.0,0.0,1.0,other,,A person's signature.,
John Henry,https://en.wiktionary.org/wiki/John_Henry,0,0,10,0,10,0.0,0.0,1.0,other,,One's signature.,
John Thomas,https://en.wiktionary.org/wiki/John_Thomas,0,0,6,4,10,0.0,0.0,0.6,other,,,21.0
Johnny-come-lately,https://en.wiktionary.org/wiki/Johnny-come-lately,0,1,9,0,10,0.0,0.1,0.9,other,,A newcomer; a novice; an upstart.,22.0
Last Supper,https://en.wiktionary.org/wiki/Last_Supper,0,0,10,0,10,0.0,0.0,1.0,other,,,23.0
Lord's Supper,https://en.wiktionary.org/wiki/Lord's_Supper,0,0,10,0,10,0.0,0.0,1.0,other,,,24.0
Main Street,https://en.wiktionary.org/wiki/Main_Street,0,0,10,0,10,0.0,0.0,1.0,other,,"Everyday working-class people and small business owners, especially with regard to their concerns, social views, etc.",25.0
Mickey Mouse,https://en.wiktionary.org/wiki/Mickey_Mouse,0,2,8,0,10,0.0,0.2,0.8,other,,"Of inferior quality, poorly-run; too easy to be taken seriously, trivial.",26.0
Midas touch,https://en.wiktionary.org/wiki/Midas_touch,10,0,0,0,10,1.0,0.0,0.0,positive,,from one's actions easily and consistently.,
Monday-morning quarterback,https://en.wiktionary.org/wiki/Monday-morning_quarterback,0,5,5,0,10,0.0,0.5,0.5,negative,,Someone who criticizes with hindsight.,
Monopoly money,https://en.wiktionary.org/wiki/Monopoly_money,0,3,7,0,10,0.0,0.3,0.7,other,,Money that does not exist; referring to fraudulent record keeping.,27.0
Number 10,https://en.wiktionary.org/wiki/Number_10,0,0,10,0,10,0.0,0.0,1.0,other,,,28.0
Number 11,https://en.wiktionary.org/wiki/Number_11,0,0,10,0,10,0.0,0.0,1.0,other,,,29.0
Number Ten,https://en.wiktionary.org/wiki/Number_Ten,0,0,10,0,10,0.0,0.0,1.0,other,,,30.0
Oreo cookie,https://en.wiktionary.org/wiki/Oreo_cookie,0,0,9,1,10,0.0,0.0,0.9,other,,A black person that appears to the community to embody the social and cultural features of a white person,31.0
Prince of Darkness,https://en.wiktionary.org/wiki/Prince_of_Darkness,0,8,2,0,10,0.0,0.8,0.2,negative,,,32.0
Promised Land,https://en.wiktionary.org/wiki/Promised_Land,9,0,1,0,10,0.9,0.0,0.1,positive,,Heaven or the afterlife. Any place to which one eagerly seeks to go and which one expects to greatly improve one's situation.,
Red Baron,https://en.wiktionary.org/wiki/Red_Baron,1,0,9,0,10,0.1,0.0,0.9,other,,A hotshot fighter pilot; an ace fighter pilot.,33.0
Russian roulette,https://en.wiktionary.org/wiki/Russian_roulette,0,5,5,0,10,0.0,0.5,0.5,negative,,"A deadly game in which a person loads a single bullet in the cylinder of a revolver, spins the cylinder so that the bullet's location is unknown, points the muzzle at his/her head, and pulls the trigger. In its most lethal form, played by multiple participants each of whom takes a turn until the weapon discharges.",34.0
Santa's workshop,https://en.wiktionary.org/wiki/Santa's_workshop,2,0,8,0,10,0.2,0.0,0.8,other,,"A busy, productive large or small work environment, populated by dedicated workers.",35.0
Sunday best,https://en.wiktionary.org/wiki/Sunday_best,7,0,3,0,10,0.7,0.0,0.3,positive,,"A person's finest clothing, especially the clothes one reserves to wear to church on Sunday.",36.0
Sussex Drive,https://en.wiktionary.org/wiki/Sussex_Drive,0,0,10,0,10,0.0,0.0,1.0,other,,"The Canadian prime minister, or the federal government of Canada.",37.0
Swiss bank account,https://en.wiktionary.org/wiki/Swiss_bank_account,3,0,7,0,10,0.3,0.0,0.7,other,,,38.0
The End,https://en.wiktionary.org/wiki/The_End,0,2,8,0,10,0.0,0.2,0.8,other,,,39.0
"Tom, Dick and Harry","https://en.wiktionary.org/wiki/Tom,_Dick_and_Harry",0,1,9,0,10,0.0,0.1,0.9,other,,,
Trojan-horse,https://en.wiktionary.org/wiki/Trojan-horse,1,4,5,0,10,0.1,0.4,0.5,other,,"To introduce slyly, to sneak in, to subvert.",40.0
Wall Street,https://en.wiktionary.org/wiki/Wall_Street,1,0,9,0,10,0.1,0.0,0.9,other,,,
White House,https://en.wiktionary.org/wiki/White_House,0,0,10,0,10,0.0,0.0,1.0,other,,,41.0
X factor,https://en.wiktionary.org/wiki/X_factor,4,0,6,0,10,0.4,0.0,0.6,other,,"An unknown or hard-to-define influence; a factor with unknown or unforeseeable consequences. A special talent, ability or quality or its indefinable cause.",42.0
X's and O's,https://en.wiktionary.org/wiki/X's_and_O's,0,0,10,0,10,0.0,0.0,1.0,other,,The fundamental elements of a play. The basic delineation of roles in a project.,
a bit much,https://en.wiktionary.org/wiki/a_bit_much,1,3,6,0,10,0.1,0.3,0.6,other,,,43.0
a bridge too far,https://en.wiktionary.org/wiki/a_bridge_too_far,1,3,6,0,10,0.1,0.3,0.6,other,,A step or action that is too ambitious; an act of overreaching.,44.0
a good deal,https://en.wiktionary.org/wiki/a_good_deal,10,0,0,0,10,1.0,0.0,0.0,positive,,Very much; to a great extent; a lot; lots. A large amount; a lot.,45.0
a great deal,https://en.wiktionary.org/wiki/a_great_deal,7,0,3,0,10,0.7,0.0,0.3,positive,X,"Large number, amount, or extent.",
a hair's breadth,https://en.wiktionary.org/wiki/a_hair's_breadth,0,0,10,0,10,0.0,0.0,1.0,other,,,46.0
a life of its own,https://en.wiktionary.org/wiki/a_life_of_its_own,0,0,10,0,10,0.0,0.0,1.0,other,,An independent existence with some characteristics of life.,47.0
a notch above,https://en.wiktionary.org/wiki/a_notch_above,8,0,2,0,10,0.8,0.0,0.2,positive,,superior to; of a higher quality than,48.0
abandon ship,https://en.wiktionary.org/wiki/abandon_ship,0,9,1,0,10,0.0,0.9,0.1,negative,,,49.0
